time,open,high,low,close
2020-08-07T00:00:00Z,0.4199,0.45,0.15,0.41272
2020-08-08T00:00:00Z,0.4138,0.42038,0.40809,0.41367
2020-08-09T00:00:00Z,0.4144,0.41566,0.40465,0.40465
2020-08-10T00:00:00Z,0.40536,0.42161,0.40526,0.4148
2020-08-11T00:00:00Z,0.4148,0.43013,0.37894,0.40044
2020-08-12T00:00:00Z,0.39794,0.40725,0.39237,0.39947
2020-08-13T00:00:00Z,0.39947,0.42446,0.39535,0.42208
2020-08-14T00:00:00Z,0.41985,0.43088,0.41152,0.42277
2020-08-15T00:00:00Z,0.42373,0.42892,0.40001,0.41977
2020-08-16T00:00:00Z,0.41999,0.42825,0.41162,0.42309
2020-08-17T00:00:00Z,0.42825,0.45565,0.41816,0.43959
2020-08-18T00:00:00Z,0.44113,0.44997,0.41713,0.42291
2020-08-19T00:00:00Z,0.41985,0.42348,0.39683,0.39839
2020-08-20T00:00:00Z,0.4099,0.41268,0.40558,0.40924
2020-08-21T00:00:00Z,0.41071,0.41522,0.39213,0.39213
2020-08-22T00:00:00Z,0.3929,0.40267,0.38605,0.40157
2020-08-23T00:00:00Z,0.40605,0.40605,0.39205,0.40218
2020-08-24T00:00:00Z,0.40087,0.4107,0.39987,0.4084
2020-08-25T00:00:00Z,0.40537,0.40627,0.381,0.38971
2020-08-26T00:00:00Z,0.3867,0.39117,0.38598,0.3878
2020-08-27T00:00:00Z,0.38456,0.38641,0.3576,0.36765
2020-08-28T00:00:00Z,0.36506,0.37182,0.362,0.3708
2020-08-29T00:00:00Z,0.37276,0.37967,0.37085,0.37967
2020-08-30T00:00:00Z,0.3795,0.38819,0.37718,0.38607
2020-08-31T00:00:00Z,0.3896,0.39127,0.382,0.38466
2020-09-01T00:00:00Z,0.38295,0.40994,0.37942,0.40833
2020-09-02T00:00:00Z,0.40833,0.41564,0.36888,0.38127
2020-09-03T00:00:00Z,0.37909,0.38058,0.335,0.33942
