time,open,high,low,close
2020-07-19T16:00:00Z,0.1995,0.2001,0.1965,0.1976
2020-07-20T16:00:00Z,0.1976,0.201,0.1919,0.1988
2020-07-21T16:00:00Z,0.1987,0.1995,0.1959,0.199
2020-07-22T16:00:00Z,0.199,0.2091,0.1985,0.2076
2020-07-23T16:00:00Z,0.2075,0.2103,0.2019,0.2041
2020-07-24T16:00:00Z,0.2041,0.2089,0.2028,0.2081
2020-07-25T16:00:00Z,0.2081,0.2249,0.2071,0.2167
2020-07-26T16:00:00Z,0.2167,0.2231,0.2087,0.2129
2020-07-27T16:00:00Z,0.2129,0.2291,0.2128,0.2278
2020-07-28T16:00:00Z,0.2278,0.2441,0.2233,0.2392
2020-07-29T16:00:00Z,0.2393,0.25,0.2338,0.2435
2020-07-30T16:00:00Z,0.2436,0.2495,0.2411,0.2458
2020-07-31T16:00:00Z,0.2458,0.2715,0.2457,0.2676
2020-08-01T16:00:00Z,0.2676,0.3262,0.2475,0.286
2020-08-02T16:00:00Z,0.286,0.3183,0.2812,0.3119
2020-08-03T16:00:00Z,0.3119,0.32,0.2903,0.3029
2020-08-04T16:00:00Z,0.3029,0.308,0.2904,0.3023
2020-08-05T16:00:00Z,0.3023,0.3111,0.2962,0.3093
2020-08-06T16:00:00Z,0.3092,0.3102,0.296,0.3
2020-08-07T16:00:00Z,0.3,0.301,0.279,0.2952
2020-08-08T16:00:00Z,0.2952,0.2984,0.2821,0.2848
2020-08-09T16:00:00Z,0.2848,0.3,0.282,0.2954
2020-08-10T16:00:00Z,0.2954,0.3073,0.2836,0.2874
2020-08-11T16:00:00Z,0.2875,0.2916,0.2682,0.2838
2020-08-12T16:00:00Z,0.2838,0.2859,0.2723,0.2773
2020-08-13T16:00:00Z,0.2773,0.3034,0.2753,0.2976
2020-08-14T16:00:00Z,0.2977,0.3072,0.291,0.3027
2020-08-15T16:00:00Z,0.3027,0.3051,0.2919,0.2999
2020-08-16T16:00:00Z,0.2999,0.319,0.2955,0.3133
2020-08-17T16:00:00Z,0.3133,0.3268,0.2967,0.3021
2020-08-18T16:00:00Z,0.302,0.3086,0.2849,0.2903
2020-08-19T16:00:00Z,0.2903,0.2944,0.2783,0.2942
2020-08-20T16:00:00Z,0.2942,0.2958,0.2818,0.2855
2020-08-21T16:00:00Z,0.2854,0.2883,0.2733,0.2794
2020-08-22T16:00:00Z,0.2794,0.288,0.2768,0.2835
2020-08-23T16:00:00Z,0.2835,0.292,0.2818,0.2885
2020-08-24T16:00:00Z,0.2886,0.2899,0.2753,0.2784
2020-08-25T16:00:00Z,0.2784,0.2795,0.27,0.2783
2020-08-26T16:00:00Z,0.2783,0.2807,0.2622,0.2641
2020-08-27T16:00:00Z,0.2641,0.2716,0.2543,0.2714
2020-08-28T16:00:00Z,0.2714,0.2768,0.2686,0.2741
2020-08-29T16:00:00Z,0.2741,0.283,0.2736,0.2816
2020-08-30T16:00:00Z,0.2816,0.2845,0.278,0.2803
2020-08-31T16:00:00Z,0.2803,0.2954,0.2756,0.2943
2020-09-01T16:00:00Z,0.2943,0.3039,0.2623,0.2709
2020-09-02T16:00:00Z,0.2708,0.2779,0.2543,0.2605
2020-09-03T16:00:00Z,0.2605,0.2661,0.2372,0.2504
2020-09-04T16:00:00Z,0.2504,0.2595,0.2378,0.2468
2020-09-05T16:00:00Z,0.2468,0.2479,0.2294,0.2371
2020-09-06T16:00:00Z,0.2371,0.2431,0.2296,0.2369
2020-09-07T16:00:00Z,0.2369,0.2436,0.2314,0.2371
2020-09-08T16:00:00Z,0.2371,0.2418,0.2312,0.2411
2020-09-09T16:00:00Z,0.2411,0.2487,0.2376,0.2456
2020-09-10T16:00:00Z,0.2456,0.2465,0.2368,0.2413
2020-09-11T16:00:00Z,0.2413,0.2443,0.2398,0.2423
2020-09-12T16:00:00Z,0.2423,0.2534,0.2398,0.2408
2020-09-13T16:00:00Z,0.2408,0.2483,0.2375,0.2481
2020-09-14T16:00:00Z,0.2481,0.2493,0.2423,0.2444
2020-09-15T16:00:00Z,0.2443,0.2464,0.2341,0.2446
2020-09-16T16:00:00Z,0.2446,0.2585,0.2426,0.2502
2020-09-17T16:00:00Z,0.2502,0.2552,0.2482,0.2493
2020-09-18T16:00:00Z,0.2493,0.2549,0.2463,0.2517
2020-09-19T16:00:00Z,0.2517,0.2523,0.2441,0.2451
2020-09-20T16:00:00Z,0.245,0.248,0.2298,0.2321
2020-09-21T16:00:00Z,0.2321,0.2345,0.229,0.2303
2020-09-22T16:00:00Z,0.2304,0.2351,0.2302,0.2308
2020-09-23T16:00:00Z,0.2308,0.2321,0.2194,0.2289
2020-09-24T16:00:00Z,0.2289,0.2416,0.2288,0.24
2020-09-25T16:00:00Z,0.2401,0.2456,0.2376,0.2416
2020-09-26T16:00:00Z,0.2416,0.2446,0.2373,0.2419
2020-09-27T16:00:00Z,0.2419,0.2469,0.2403,0.2457
2020-09-28T16:00:00Z,0.2457,0.2484,0.2397,0.2414
2020-09-29T16:00:00Z,0.2414,0.2437,0.2374,0.2412
2020-09-30T16:00:00Z,0.2412,0.2444,0.2383,0.2393
2020-10-01T16:00:00Z,0.2393,0.2394,0.2283,0.2317
2020-10-02T16:00:00Z,0.2317,0.235,0.2309,0.2334
2020-10-03T16:00:00Z,0.2334,0.2436,0.2315,0.24
2020-10-04T16:00:00Z,0.24,0.2543,0.2399,0.2505
2020-10-05T16:00:00Z,0.2505,0.2593,0.2452,0.2541
2020-10-06T16:00:00Z,0.2541,0.2546,0.2402,0.2477
2020-10-07T16:00:00Z,0.2477,0.2519,0.2421,0.2505
2020-10-08T16:00:00Z,0.2505,0.2566,0.2493,0.2523
2020-10-09T16:00:00Z,0.2523,0.2604,0.2496,0.2579
2020-10-10T16:00:00Z,0.2579,0.2584,0.2529,0.257
2020-10-11T16:00:00Z,0.2571,0.2579,0.2481,0.2564
2020-10-12T16:00:00Z,0.2564,0.2599,0.2526,0.2554
2020-10-13T16:00:00Z,0.2553,0.2584,0.2466,0.2479
2020-10-14T16:00:00Z,0.2479,0.25,0.2428,0.2463
2020-10-15T16:00:00Z,0.2463,0.2483,0.2375,0.2394
2020-10-16T16:00:00Z,0.2394,0.2431,0.2385,0.2413
2020-10-17T16:00:00Z,0.2413,0.2436,0.2398,0.2425
2020-10-18T16:00:00Z,0.2424,0.2493,0.2401,0.2479
2020-10-19T16:00:00Z,0.248,0.2503,0.2413,0.2442
2020-10-20T16:00:00Z,0.2442,0.2533,0.2416,0.2522
2020-10-21T16:00:00Z,0.2522,0.262,0.2496,0.2615
2020-10-22T16:00:00Z,0.2615,0.2636,0.2528,0.2546
2020-10-23T16:00:00Z,0.2546,0.2567,0.25,0.2555
2020-10-24T16:00:00Z,0.2555,0.2576,0.251,0.2526
2020-10-25T16:00:00Z,0.2526,0.259,0.2485,0.2495
2020-10-26T16:00:00Z,0.2495,0.2531,0.2434,0.2529
2020-10-27T16:00:00Z,0.2529,0.2566,0.2446,0.2466
2020-10-28T16:00:00Z,0.2466,0.2476,0.2396,0.2447
2020-10-29T16:00:00Z,0.2448,0.247,0.2295,0.2382
2020-10-30T16:00:00Z,0.2382,0.2435,0.2364,0.241
2020-10-31T16:00:00Z,0.241,0.2413,0.2365,0.2393
2020-11-01T16:00:00Z,0.2393,0.2449,0.2326,0.235
2020-11-02T16:00:00Z,0.235,0.2442,0.2277,0.2377
2020-11-03T16:00:00Z,0.2377,0.2408,0.2321,0.234
2020-11-04T16:00:00Z,0.234,0.2457,0.2335,0.2453
2020-11-05T16:00:00Z,0.2453,0.2613,0.242,0.2563
2020-11-06T16:00:00Z,0.2562,0.2672,0.2496,0.2557
2020-11-07T16:00:00Z,0.2556,0.257,0.2441,0.2551
2020-11-08T16:00:00Z,0.2551,0.257,0.2456,0.2466
2020-11-09T16:00:00Z,0.2466,0.2648,0.2456,0.2527
2020-11-10T16:00:00Z,0.2527,0.2599,0.2521,0.2575
2020-11-11T16:00:00Z,0.2575,0.2594,0.253,0.2544
2020-11-12T16:00:00Z,0.2544,0.2612,0.2524,0.2596
2020-11-13T16:00:00Z,0.2596,0.2772,0.2558,0.2656
